name,rating,review_count,categories,price_type,address,phone
Otra,4.4,178,"['Mexican', 'Cocktail Bars']",2.0,"682 Haight St, San Francisco, CA 94117",(415) 500-2774
NONO,4.3,137,"['Izakaya', 'Sushi Bars']",2.0,"1730 Fillmore St, San Francisco, CA 94115",(415) 829-3411
Nara Restaurant & Sake Bar,4.6,2060,"['Japanese', 'Sushi Bars']",2.0,"518 Haight St, San Francisco, CA 94117",(415) 417-0518
ILCHA,4.4,307,"['Korean', 'Bars']",3.0,"2151 Lombard St, San Francisco, CA 94123",(415) 613-9288
The Public Izakaya,4.4,440,"['Izakaya', 'Sushi Bars', 'Ramen']",2.0,"700 Post St, San Francisco, CA 94109",(415) 658-7588
The Tailor's Son,4.2,536,"['Italian', 'Cocktail Bars', 'Breakfast & Brunch']",2.0,"2049 Fillmore St, San Francisco, CA 94115",(415) 673-7200
Pinsa Rossa,4.6,116,"['Italian', 'Pizza', 'Beer Bar']",2.0,"2101 Fillmore St, San Francisco, CA 94115",(415) 922-4700
SHOWA Le Gourmet Tonkatsu,5.0,14,['Japanese'],2.0,"1550 Howard St, San Francisco, CA 94103",(415) 470-1107
La Sarrasine,4.7,93,"['Creperies', 'French', 'Mediterranean']",2.0,"607 Divisadero St, San Francisco, CA 94117",(415) 417-4915
Toast N Egg,4.1,86,"['Korean', 'Breakfast & Brunch']",2.0,"1838 Irving St, San Francisco, CA 94122",(415) 900-1210
Frances,4.3,1573,"['New American', 'Wine Bars']",3.0,"3870 17th St, San Francisco, CA 94114",(415) 621-3870
Bistro Ember,4.7,90,['Mediterranean'],2.0,"1298 Church St, San Francisco, CA 94114",(415) 936-6096
JIJIME,4.3,620,"['Korean', 'Asian Fusion', 'Ramen']",2.0,"5524 Geary Blvd, San Francisco, CA 94121",(415) 221-5353
Lark,4.1,349,"['Mediterranean', 'Greek', 'Cocktail Bars']",2.0,"4068 18th St, San Francisco, CA 94114",(415) 400-4623
Starbelly,3.8,2344,"['New American', 'Breakfast & Brunch', 'Cocktail Bars']",2.0,"3583 16th St, San Francisco, CA 94114",(415) 252-7500
The Port of Peri Peri,4.7,11,"['Chicken Shop', 'Halal', 'Portuguese']",2.0,"737 3rd St, San Francisco, CA 94107",(415) 340-7373
Khao Tiew,4.7,73,['Thai'],2.0,"272 Claremont Blvd, San Francisco, CA 94127",(415) 996-1919
Little Aloha,4.4,32,"['Hawaiian', 'Shaved Ice']",2.0,"1115 Taraval St, San Francisco, CA 94116",(415) 592-3888
Birdsong,4.4,430,['New American'],4.0,"1085 Mission St, San Francisco, CA 94103",(415) 369-9161
Cote Ouest Bistro,4.7,221,['French'],2.0,"2953 Baker St, San Francisco, CA 94123",(415) 896-4709
Lokma,4.6,820,"['Mediterranean', 'Breakfast & Brunch', 'Vegetarian']",2.0,"1801 Clement St, San Francisco, CA 94121",(415) 702-6263
Lily,4.3,479,['Vietnamese'],2.0,"225 Clement St, San Francisco, CA 94118",(415) 742-5285
Anomaly SF,4.7,179,['New American'],4.0,"2600 Sutter St, San Francisco, CA 94115",(415) 510-9468
Mr. Digby’s,4.2,167,"['Cocktail Bars', 'Comfort Food', 'Breakfast & Brunch']",2.0,"1199 Church St, San Francisco, CA 94114",(415) 896-4973
Bettola,5.0,1,['Italian'],2.0,"343 Clement St, San Francisco, CA 94118",(415) 571-8542
Sotto Mare,4.3,5346,"['Seafood', 'Italian', 'Bars']",2.0,"552 Green St, San Francisco, CA 94133",(415) 398-3181
Ben Thai Cafe,4.4,1058,"['Thai', 'Noodles']",2.0,"1331 Polk St, San Francisco, CA 94109",(415) 771-2562
Ollei,4.6,184,"['Korean', 'Comfort Food', 'Asian Fusion']",2.0,"2127 Polk St, San Francisco, CA 94109",(415) 757-0721
Nopalito,3.8,2049,['Mexican'],2.0,"306 Broderick St, San Francisco, CA 94117",(415) 437-0303
The Crew,3.9,604,"['Korean', 'Barbeque', 'Asian Fusion']",2.0,"1330 Noriega St, San Francisco, CA 94122",(415) 665-8548
Cha Cha Cha,3.9,3476,"['Caribbean', 'Cuban', 'Tapas Bars']",2.0,"1801 Haight St, San Francisco, CA 94117",(415) 386-7670
Farmhouse Kitchen Thai Cuisine,4.1,3707,"['Thai', 'Coffee & Tea', 'Cocktail Bars']",2.0,"710 Florida St, San Francisco, CA 94110",(415) 814-2920
State Bird Provisions,4.2,3276,"['Tapas/Small Plates', 'New American', 'Desserts']",4.0,"1529 Fillmore St, San Francisco, CA 94115",(415) 795-1272
Wooden Spoon,4.4,716,['Breakfast & Brunch'],2.0,"2172 Market St, San Francisco, CA 94114",(415) 946-3005
Jang,5.0,3,"['Japanese', 'Korean', 'Barbeque']",2.0,"22 Franklin St, San Francisco, CA 94102",(510) 529-1002
Bodega,4.4,610,"['Vietnamese', 'Noodles', 'Cocktail Bars']",2.0,"138 Mason St, San Francisco, CA 94102",(415) 655-9341
Routier,4.4,181,['French'],4.0,"2801 California St, San Francisco, CA 94115",(415) 766-9997
Abrazo,4.5,200,"['Spanish', 'New American', 'Seafood']",3.0,"2000 Hyde St, San Francisco, CA 94109",(415) 872-9239
Kitchen Story,4.1,4137,"['Breakfast & Brunch', 'Asian Fusion', 'New American']",2.0,"3499 16th St, San Francisco, CA 94114",(415) 525-4905
Caliente Bistro Kitchen,4.8,262,"['Mexican', 'Bars']",2.0,"4828 Geary Blvd, San Francisco, CA 94118",(415) 379-6250
DACHA Kitchen & Bar,4.8,61,"['Modern European', 'Breakfast & Brunch', 'Cocktail Bars']",2.0,"1085 Sutter St, San Francisco, CA 94109",(415) 932-6672
Four Chairs,4.3,542,['Breakfast & Brunch'],2.0,"3282 Mission St, San Francisco, CA 94110",(415) 400-4788
Kaiyo Rooftop,3.8,835,"['Peruvian', 'Cocktail Bars', 'Sushi Bars']",2.0,"701 3rd St, Fl 12, San Francisco, CA 94105",(415) 800-8141
Katsuo + Kombu,4.3,173,"['Japanese', 'Noodles']",2.0,"559 Divisadero St, San Francisco, CA 94117",(415) 829-3150
Um Ma,3.8,770,"['Korean', 'Wine Bars', 'Chicken Wings']",2.0,"1220 9th Ave, San Francisco, CA 94122",(415) 943-6071
Castro Indian Restaurant & Bar,4.7,75,"['Indian', 'Cocktail Bars', 'Vegan']",2.0,"468 Castro St, San Francisco, CA 94114",(415) 875-9141
Beit Rima,4.5,806,"['Arabic', 'Mediterranean', 'Lebanese']",2.0,"138 Church St, San Francisco, CA 94114",(415) 703-0270
Tacos El Tucan - San Francisco,4.6,23,['Tacos'],2.0,"3600 16th St, San Francisco, CA 94114",(415) 552-2515
M Pot,4.6,14,['Chinese'],2.0,"832 Clement St, San Francisco, CA 94118",(415) 571-8076
Rise Over Run,4.1,141,"['New American', 'Cocktail Bars']",2.0,"33 Turk St, San Francisco, CA 94102",(415) 523-9797
Lavash,4.2,1694,"['Persian/Iranian', 'Wine Bars', 'Mediterranean']",2.0,"511 Irving St, San Francisco, CA 94122",(415) 664-5555
Yakitori Edomasa,4.0,148,['Japanese'],3.0,"1581 Webster St, Ste 270, San Francisco, CA 94115",(415) 872-7646
Heritage Restaurant & Bar,4.3,280,"['New American', 'Cocktail Bars']",2.0,"708 Clement St, San Francisco, CA 94118",(415) 386-2200
Dumpling Story,4.5,230,"['Asian Fusion', 'Chinese', 'Noodles']",2.0,"2114 Fillmore St, San Francisco, CA 94115",(415) 829-3664
Copra,4.1,457,['Indian'],3.0,"1700 Fillmore St, San Francisco, CA 94115",(415) 873-0795
606,4.8,104,"['Hong Kong Style Cafe', 'Diners', 'Cantonese']",2.0,"606 Broadway, San Francisco, CA 94133",(415) 956-3338
Chome,4.6,374,"['Izakaya', 'Gastropubs', 'Ramen']",3.0,"3601 26th St, San Francisco, CA 94110",(415) 655-9623
Mamanoko,4.3,632,"['Japanese', 'Cocktail Bars', 'Sushi Bars']",2.0,"2317 Chestnut St, San Francisco, CA 94123",(415) 346-8494
San Ho Won,4.6,593,"['Korean', 'Barbeque']",4.0,"2170 Bryant St, San Francisco, CA 94110",(415) 868-4479
Oodle Yunnan Rice Noodle,4.6,161,"['Chinese', 'Noodles', 'Soup']",2.0,"3420 Balboa St, San Francisco, CA 94121",(415) 571-8889
Taste Of Old Street,4.5,37,"['Chinese', 'Kebab', 'Noodles']",2.0,"5336 Geary Blvd, San Francisco, CA 94121",(415) 601-5571
Fish In The Box,4.5,326,"['Poke', 'Sushi Bars', 'Seafood']",2.0,"800 Masonic Ave, San Francisco, CA 94117",(415) 563-2828
The Pawn Shop,4.6,735,"['Speakeasies', 'Wine Bars', 'Tapas Bars']",2.0,"993 Mission St, San Francisco, CA 94103",(415) 874-8041
Beit Rima,4.3,350,"['Arabic', 'Mediterranean', 'Lebanese']",2.0,"86 Carl St, San Francisco, CA 94117",(415) 566-1274
Bagatella,4.3,111,"['New American', 'Italian', 'Mediterranean']",2.0,"3348 Steiner St, San Francisco, CA 94123",(415) 796-3086
Burma Superstar,4.2,7588,['Burmese'],2.0,"309 Clement St, San Francisco, CA 94118",(415) 387-2147
Movida,4.3,162,"['Persian/Iranian', 'Mexican']",2.0,"555 2nd St, San Francisco, CA 94107",(415) 212-6672
Freekeh,4.7,192,"['Mediterranean', 'Middle Eastern']",2.0,"3126 16th St, San Francisco, CA 94103",(415) 553-8966
Oraan Thai Eatery,4.6,90,['Thai'],2.0,"3750 Geary Blvd, San Francisco, CA 94118",(628) 219-7598
The Rustic,4.7,92,"['Italian', 'Modern European', 'New American']",2.0,"215 Church St, San Francisco, CA 94114",(415) 872-7123
Damansara,3.8,102,['Malaysian'],3.0,"1781 Church St, San Francisco, CA 94131",(415) 914-0931
Sunset29 BBQ,5.0,58,"['Barbeque', 'Pop-Up Restaurants']",2.0,"San Francisco , CA 94116",(415) 723-2929
Daeho Kalbijjim & Beef Soup,4.5,2046,"['Korean', 'Soup', 'Noodles']",3.0,"1620 Post St, San Francisco, CA 94115",(415) 563-1388
CreoLa,4.5,236,"['Seafood', 'Cajun/Creole', 'Cocktail Bars']",2.0,"900 Stanyan St, San Francisco, CA 94117",(415) 260-3143
Beach’n,4.6,133,"['Coffee & Tea', 'Breakfast & Brunch', 'Salad']",2.0,"4300 Judah St, San Francisco, CA 94122",(415) 682-4961
Dumpling Home,4.5,1554,"['Dim Sum', 'Noodles', 'Asian Fusion']",2.0,"298 Gough St, San Francisco, CA 94102",(415) 503-1666
That's My Jam,4.8,94,"['Breakfast & Brunch', 'New American', 'Coffee & Tea']",2.0,"324 Divisadero St, San Francisco, CA 94117",(415) 349-0595
Bocconcino,4.7,96,['Italian'],2.0,"516 Green St, San Francisco, CA 94133",(415) 932-6189
Copper Bar Kitchen & Microbrewery,4.4,32,"['Cocktail Bars', 'Breakfast & Brunch']",2.0,"4092 18th St, San Francisco, CA 94114",(415) 529-1122
Teakwood,3.9,133,['Burmese'],3.0,"399 Grove St, San Francisco, CA 94102",(415) 874-9000
Minnie Bells Soul Movement,4.8,25,"['Soul Food', 'Chicken Wings', 'Southern']",2.0,"1375 Fillmore St, San Francisco, CA 94115",(510) 879-7199
Surisan,4.3,3614,"['Korean', 'New American', 'Breakfast & Brunch']",2.0,"505 Beach St, San Francisco, CA 94133",(415) 771-8449
The Pig & Whistle,4.0,527,"['Pubs', 'British']",2.0,"2801 Geary Blvd, San Francisco, CA 94118",(415) 885-4779
NOVY Restaurant,4.1,575,"['Mediterranean', 'Greek', 'Breakfast & Brunch']",2.0,"4000 24th St, San Francisco, CA 94114",(415) 829-8383
Ernest,4.3,487,"['New American', 'Seafood', 'Bars']",3.0,"1890 Bryant St, Ste 100, San Francisco, CA 94110",(415) 829-2961
Seven Hills,4.5,1378,"['Italian', 'Wine Bars']",3.0,"1896 Hyde St, San Francisco, CA 94109",(415) 775-1550
The Italian Homemade Company,4.3,1252,"['Italian', 'Pasta Shops', 'Desserts']",2.0,"1919 Union St, San Francisco, CA 94123",(415) 625-5965
Roaming Goat,4.6,82,"['Wine Bars', 'Mediterranean', 'Armenian']",2.0,"1830 Union St, San Francisco, CA 94123",(415) 769-7281
Tanglad,4.5,296,['Vietnamese'],2.0,"469 Castro St, San Francisco, CA 94114",(415) 624-3238
San Tung,4.1,8189,"['Chinese', 'Chicken Wings', 'Noodles']",2.0,"1031 Irving St, San Francisco, CA 94122",(415) 242-0828
Manna,4.2,1464,['Korean'],2.0,"845 Irving St, San Francisco, CA 94122",(415) 665-5969
Suppenküche,4.1,3350,['German'],2.0,"525 Laguna St, San Francisco, CA 94102",(415) 252-9289
Marcella's Lasagneria,4.6,544,['Italian'],2.0,"1099 Tennessee St, San Francisco, CA 94107",(415) 920-2225
C.Q. Noodles,4.5,188,"['Chinese', 'Noodles', 'Soup']",2.0,"2121 Clement St, San Francisco, CA 94121",(415) 751-5332
Blush!,3.9,328,"['Wine Bars', 'French']",2.0,"476 Castro St, San Francisco, CA 94114",(415) 558-0893
Sikdang Woori,4.5,50,['Korean'],2.0,"1506 Fillmore St, San Francisco, CA 94115",(415) 658-7974
The Morris,4.5,409,"['New American', 'Cocktail Bars', 'Desserts']",3.0,"2501 Mariposa St, San Francisco, CA 94110",(415) 612-8480
Ox & Tiger,4.9,99,"['Filipino', 'Japanese']",4.0,"552 Jones St, San Francisco, CA 94102",(415) 992-3827
Roma Antica,4.5,1497,"['Pizza', 'Italian', 'Pasta Shops']",2.0,"3242 Scott St, San Francisco, CA 94123",(415) 896-4281
Alnico,4.3,828,"['Asian Fusion', 'Breakfast & Brunch', 'Chicken Wings']",2.0,"1050 Valencia St, San Francisco, CA 94110",(415) 757-0889
Corks,4.7,109,"['Wine Bars', 'Italian']",2.0,"4342 California St, San Francisco, CA 94118",(415) 650-3002
Matterhorn Restaurant & Bakery,4.5,191,"['Modern European', 'Fondue']",3.0,"2323 Van Ness Ave, San Francisco, CA 94109",(415) 829-7540
Gurung Kitchen,4.5,134,"['Himalayan/Nepalese', 'Indian']",2.0,"1033 Irving St, San Francisco, CA 94122",(415) 379-4674
Andina,4.8,35,"['Venezuelan', 'Comfort Food']",2.0,"205 Franklin St, San Francisco, CA 94102",(415) 287-6599
Hu Tong Jian Bing,3.9,39,['Pop-Up Restaurants'],2.0,"2291 3rd St, San Francisco, CA 94107",(415) 529-2015
Fiorella - Sunset,4.2,329,"['Italian', 'Pizza', 'Cocktail Bars']",3.0,"1240 9th Ave, San Francisco, CA 94122",(415) 404-6997
Coqueta,4.0,2575,"['Spanish', 'Tapas/Small Plates']",3.0,"The Embarcadero, Pier 5, San Francisco, CA 94111",(415) 704-8866
Moku Yakitori-Ya,4.3,130,"['Izakaya', 'Tapas/Small Plates']",2.0,"312 8th Ave, San Francisco, CA 94118",(415) 555-5555
Zazie,4.2,5268,"['Breakfast & Brunch', 'French', 'Wine Bars']",2.0,"941 Cole St, San Francisco, CA 94117",(415) 564-5332
Woodhouse Fish,4.1,2599,"['Seafood', 'New American']",2.0,"1914 Fillmore St, San Francisco, CA 94115",(415) 437-2722
Komaaj Pila Bazaar,4.7,235,"['Persian/Iranian', 'Vegetarian', 'Wraps']",2.0,"10 29th st, San Francisco, CA 94110",(415) 598-8286
Cole Valley Tavern,4.2,105,"['Cocktail Bars', 'Burgers', 'Fish & Chips']",2.0,"900 Cole St, San Francisco, CA 94117",(415) 681-7678
Gao Viet Kitchen & Bar,4.3,517,"['Cocktail Bars', 'Vietnamese', 'Seafood']",3.0,"1900 Irving St, San Francisco, CA 94122",(415) 592-8090
opa cafe,4.6,567,"['Mediterranean', 'Sandwiches', 'Salad']",2.0,"2401 Post St, San Francisco, CA 94115",(415) 913-7745
Fin Thai SF ,4.8,57,"['Seafood', 'Thai', 'Wine Bars']",2.0,"2327 Polk St, San Francisco, CA 94109",(415) 636-9966
ZZAN,4.3,722,"['Korean', 'Barbeque', 'Soup']",2.0,"643 Post St, San Francisco, CA 94109",(415) 872-9977
El Farolito,4.2,5449,['Mexican'],1.0,"2779 Mission St, San Francisco, CA 94110",(415) 824-7877
Destapas,4.6,151,"['Spanish', 'Tapas Bars', 'Wine Bars']",3.0,"2708 24th St, San Francisco, CA 94110",(415) 829-7045
Scopo Divino,4.4,387,"['Wine Bars', 'New American', 'Breakfast & Brunch']",2.0,"2800 California St, San Francisco, CA 94115",(415) 928-3728
Secret Garden,4.4,10,['New American'],2.0,"2128 Folsom St, San Francisco, CA 94110",(415) 552-1199
Original Joe's,4.1,2141,"['Italian', 'Steakhouses', 'Breakfast & Brunch']",3.0,"601 Union St, San Francisco, CA 94133",(415) 775-4877
The Bite,4.7,195,"['Mediterranean', 'Vegan', 'Gluten-Free']",2.0,"996 Mission St, San Francisco, CA 94103",(415) 757-0414
Bay Pocha,4.2,143,['Korean'],2.0,"2642 Ocean Ave, San Francisco, CA 94132",(415) 564-1500
Mamahuhu,4.0,111,['Asian Fusion'],2.0,"3991 24th St, San Francisco, CA 94114",(415) 374-7012
Cantina Los Mayas,4.7,116,"['Mexican', 'Wine Bars']",3.0,"431 Balboa St, San Francisco, CA 94118",(415) 571-8027
Dumpling Kitchen,4.1,2146,['Chinese'],2.0,"1935 Taraval St, San Francisco, CA 94116",(415) 682-8938
Unco Frank’s,4.5,95,['Hawaiian'],2.0,"443 Clement St, San Francisco, CA 94118",(510) 279-8642
Zajang Grill,4.5,135,"['Korean', 'Buffets', 'Barbeque']",3.0,"852 Clement St, San Francisco, CA 94118",(628) 283-0427
Bodega,4.4,313,"['Wine Bars', 'Beer Bar', 'New American']",2.0,"700 Columbus Ave, San Francisco, CA 94133",(415) 634-7002
Sweet Maple,4.3,4834,"['American', 'Breakfast & Brunch', 'Burgers']",2.0,"2101 Sutter St, San Francisco, CA 94115",(415) 655-9169
Niku Steakhouse,4.4,737,"['Japanese', 'Steakhouses']",4.0,"61 Division St, San Francisco, CA 94103",(415) 829-7817
Presidio Kebab,4.7,331,"['Mediterranean', 'Kebab', 'Breakfast & Brunch']",2.0,"3277 Sacramento St, San Francisco, CA 94115",(415) 947-7163
Little Original Joe's,4.3,357,"['Pizza', 'Italian', 'Beer, Wine & Spirits']",2.0,"393 W Portal Ave, San Francisco, CA 94127",(415) 759-1155
Ben’s Fast Food,4.6,234,"['New American', 'Fast Food', 'Gluten-Free']",1.0,"60 Morris St, San Francisco, CA 94107",(415) 644-8377
Box Kitchen,4.3,837,"['Food Stands', 'Burgers', 'Waffles']",2.0,"431 Natoma St, San Francisco, CA 94103",(415) 580-7170
Kiln,4.7,60,['New American'],4.0,"149 Fell St, San Francisco, CA 94102",(415) 982-9722
Bay Of Burma,4.8,48,"['Burmese', 'Caterers']",2.0,"1174 Folsom St, San Francisco, CA 94103",(415) 757-0261
Pizzetta 211,4.3,1503,"['Pizza', 'Salad', 'Wine Bars']",2.0,"211 23rd Ave, San Francisco, CA 94121",(415) 379-9880
AltoVino,4.7,218,"['Wine Bars', 'Italian', 'Comfort Food']",3.0,"1358 Mason St, San Francisco, CA 94133",(415) 529-2435
Leopold's,4.4,1099,"['German', 'Austrian', 'Bars']",2.0,"2400 Polk St, San Francisco, CA 94109",(415) 874-9829
Georgian Cheese Boat,4.5,124,['Georgian'],2.0,"1224 Grant Ave, San Francisco, CA 94133",(415) 757-0562
Damn Fine,4.3,372,"['Pizza', 'Wine Bars', 'Cocktail Bars']",2.0,"3410 Judah St, San Francisco, CA 94122",(415) 941-7503
TaishoSF,4.8,65,"['Japanese', 'Beer Bar', 'Karaoke']",2.0,"1161 Post St, San Francisco, CA 94109",(415) 829-2997
O'Brien's Irish Pub,4.4,56,"['Irish Pub', 'Sports Bars', 'Breakfast & Brunch']",2.0,"1940 Taraval St, San Francisco, CA 94116",(415) 463-6712
Brenda's French Soul Food,4.2,12264,"['Breakfast & Brunch', 'Southern', 'Cajun/Creole']",2.0,"652 Polk St, San Francisco, CA 94102",(415) 345-8100
Uma Casa,4.2,363,"['Portuguese', 'Cocktail Bars']",3.0,"1550 Church St, San Francisco, CA 94131",(415) 829-2264
Ushi Taro Ramen,4.3,594,['Ramen'],2.0,"1382 9th Ave, San Francisco, CA 94122",(415) 702-6014
Cracked & Battered - Marina,4.6,505,"['Breakfast & Brunch', 'New American', 'Halal']",2.0,"2240 Chestnut St, San Francisco, CA 94123",(415) 638-6022
Troya,4.0,771,"['Mediterranean', 'Turkish']",2.0,"2125 Fillmore St, San Francisco, CA 94115",(415) 563-1000
Curry Hyuga,4.7,101,"['Japanese Curry', 'Comfort Food']",2.0,"1819 Market St, San Francisco, CA 94103",(415) 347-3134
California Fish Market Restaurant,4.4,665,"['Seafood', 'Fish & Chips', 'Italian']",2.0,"550 Green St, San Francisco, CA 94133",(415) 757-0918
Mariposas ,4.6,65,['Peruvian'],2.0,"825 Mission St, San Francisco, CA 94103",(415) 845-1557
Best Kept Secret,4.1,75,"['Lounges', 'Cocktail Bars', 'Asian Fusion']",2.0,"1055 Taraval St, San Francisco, CA 94116",(415) 598-8220
Okaeri Japanese Bistro,4.5,311,"['Sushi Bars', 'Japanese']",2.0,"3515 20th St, San Francisco, CA 94110",(415) 655-9588
Mr Szechuan,4.3,686,"['Chinese', 'Bubble Tea', 'Noodles']",2.0,"890 Taraval St, San Francisco, CA 94116",(415) 753-8788
Sandy's,4.6,172,['Sandwiches'],2.0,"1457 Haight St, San Francisco, CA 94117",(415) 655-9691
Dumpling House,4.3,509,"['Dim Sum', 'Asian Fusion']",2.0,"335 Noe St, San Francisco, CA 94114",(415) 829-2789
Toyama Sushi,4.4,505,"['Japanese', 'Sushi Bars']",2.0,"3727 Geary Blvd, San Francisco, CA 94118",(415) 221-9811
Cafe Okawari,4.5,403,"['Japanese', 'Cafes']",2.0,"236 Townsend St, San Francisco, CA 94107",(415) 801-5927
Hinodeya Japantown,4.2,2047,['Ramen'],2.0,"1737 Buchanan St, San Francisco, CA 94115",(415) 216-5011
Rich Table,4.2,1578,"['New American', 'Cocktail Bars', 'Wine Bars']",3.0,"199 Gough St, San Francisco, CA 94102",(415) 355-9085
Hokkaido Sashimi Marketplace,4.4,62,"['Japanese', 'Live/Raw Food', 'Seafood Markets']",2.0,"5423 Geary Blvd, San Francisco, CA 94121",(415) 876-2828
Firefly Restaurant,4.2,1561,"['New American', 'Desserts', 'Soup']",3.0,"4288 24th St, San Francisco, CA 94114",(415) 821-7652
Pa'ina Lounge & Restaurant,3.9,860,"['Hawaiian', 'Bars', 'Venues & Event Spaces']",2.0,"1865 Post St, San Francisco, CA 94115",(415) 829-2642
Anchor Oyster Bar,4.5,1689,['Seafood'],2.0,"579 Castro St, San Francisco, CA 94114",(415) 431-3990
Pasta Panino,4.6,90,"['Italian', 'Pasta Shops']",2.0,"4150 18th St, San Francisco, CA 94114",(415) 829-3829
Fermentation Lab,4.5,342,['Gastropubs'],2.0,"1230 Market St, San Francisco, CA 94102",(415) 658-7177
Bistro Central Parc,4.3,1102,"['French', 'Breakfast & Brunch', 'Italian']",2.0,"560 Central Ave, San Francisco, CA 94117",(415) 525-3064
MaMo,4.4,238,"['Latin American', 'New American', 'Beer, Wine & Spirits']",2.0,"3659 Buchanan St, San Francisco, CA 94123",(415) 658-7150
Peacock Pansy,4.3,178,['Breakfast & Brunch'],2.0,"392 Fulton St, San Francisco, CA 94102",(628) 246-2354
Paris 75,4.9,70,"['Lounges', 'Tapas/Small Plates', 'Wine Bars']",2.0,"515 Broadway, San Francisco, CA 94133",(415) 936-3266
Brenda's Meat & Three,4.2,1541,"['Breakfast & Brunch', 'Southern', 'Cajun/Creole']",2.0,"919 Divisadero St, San Francisco, CA 94115",(415) 926-8657
Bocado,4.4,167,"['Peruvian', 'Desserts', 'Cocktail Bars']",2.0,"701 Folsom St, San Francisco, CA 94107",(415) 654-5931
Ciccino,4.5,89,['Italian'],2.0,"1400 California, San Francisco, CA 94109",(415) 260-4810
Joyful Garden,3.5,4,['Chinese'],2.0,"438 Castro St, San Francisco, CA 94114",(415) 888-8929
Sorella,4.3,227,"['Italian', 'Wine Bars', 'Cocktail Bars']",3.0,"1760 Polk St, San Francisco, CA 94109",(415) 359-1212
Parada 22,4.2,1481,"['Latin American', 'Puerto Rican', 'Breakfast & Brunch']",2.0,"1805 Haight St, San Francisco, CA 94117",(415) 750-1111
Burma Love,4.1,1749,"['Burmese', 'Cocktail Bars', 'Seafood']",2.0,"211 Valencia St, San Francisco, CA 94103",(415) 861-2100
