name,rating,review_count,price,categories,address,latitude,longitude,phone,url
Nepa  Indian Cuisine,4.9,95,,"['Himalayan/Nepalese', 'Indian']","507 Divisadero St, San Francisco, CA 94117",37.774382,-122.437986,(415) 829-3180,https://www.yelp.com/biz/nepa-indian-cuisine-san-francisco-11?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Marufuku Ramen,4.5,5126,$$,['Ramen'],"1581 Webster St, Ste 235, San Francisco, CA 94115",37.78522,-122.43157,(415) 872-9786,https://www.yelp.com/biz/marufuku-ramen-san-francisco-5?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Fermentation Lab,4.6,88,,"['Cocktail Bars', 'Seafood', 'New American']","1700A Post St, San Francisco, CA 94115",37.78575,-122.4301,(415) 757-0667,https://www.yelp.com/biz/fermentation-lab-san-francisco-3?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Santeria,4.4,328,$$,"['Mexican', 'Cocktail Bars']","2251 Market St, San Francisco, CA 94114",37.764836,-122.431808,(415) 896-4496,https://www.yelp.com/biz/santeria-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
The Laundromat,4.6,316,$$,"['Pizza', 'Bagels', 'Beer Bar']","3725 Balboa St, San Francisco, CA 94121",37.77542873995666,-122.49884228441336,(415) 379-4340,https://www.yelp.com/biz/the-laundromat-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Zentarou Sushi and Sake Bar,4.6,10,,"['Japanese', 'Sushi Bars']","1380 9th Ave, San Francisco, CA 94122",37.762639,-122.46597,(659) 246-9635,https://www.yelp.com/biz/zentarou-sushi-and-sake-bar-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Mashita Galbi Jjim,4.8,18,,['Asian Fusion'],"2123 Polk St, San Francisco, CA 94109",37.796319071428506,-122.4220672,(415) 400-4084,https://www.yelp.com/biz/mashita-galbi-jjim-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Bansang,4.2,440,,"['Korean', 'Tapas/Small Plates', 'Asian Fusion']","1560 Fillmore St, San Francisco, CA 94115",37.78406,-122.43256,(415) 441-9294,https://www.yelp.com/biz/bansang-san-francisco-3?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Taniku Izakaya,4.8,156,$$,"['Izakaya', 'Ramen', 'Noodles']","1035 Geary St, San Francisco, CA 94109",37.785589,-122.420296,(415) 658-7555,https://www.yelp.com/biz/taniku-izakaya-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Savor,4.7,222,$$,"['Mediterranean', 'Vegetarian', 'Tapas/Small Plates']","401 Irving St, San Francisco, CA 94122",37.764084,-122.46228,(415) 702-6048,https://www.yelp.com/biz/savor-san-francisco-7?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Noodle in a Haystack,4.8,81,$$$$,"['Ramen', 'New American']","4601 Geary Blvd, San Francisco, CA 94118",37.78066412799114,-122.46872181182351,,https://www.yelp.com/biz/noodle-in-a-haystack-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Beretta Divisadero,4.2,511,$$,"['Italian', 'Pizza', 'Breakfast & Brunch']","661 Divisadero St, San Francisco, CA 94117",37.775757,-122.438301,(415) 654-5211,https://www.yelp.com/biz/beretta-divisadero-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Fable,4.1,874,$$,"['New American', 'Wine Bars', 'Breakfast & Brunch']","558 Castro St, San Francisco, CA 94114",37.759958,-122.435089,(415) 590-2404,https://www.yelp.com/biz/fable-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Elena's Mexican Restaurant,3.9,232,,"['American', 'Mexican']","255 W Portal Ave, San Francisco, CA 94127",37.738345,-122.468176,(415) 622-4440,https://www.yelp.com/biz/elenas-mexican-restaurant-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
MuuKaTa6395 Thai Charcoal BBQ,4.6,382,,['Thai'],"4217 Geary Blvd, San Francisco, CA 94118",37.78069,-122.46462,(415) 429-4956,https://www.yelp.com/biz/muukata6395-thai-charcoal-bbq-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Otra,4.4,178,,"['Mexican', 'Cocktail Bars']","682 Haight St, San Francisco, CA 94117",37.771842,-122.433369,(415) 500-2774,https://www.yelp.com/biz/otra-san-francisco-3?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
NONO,4.3,137,,"['Izakaya', 'Sushi Bars']","1730 Fillmore St, San Francisco, CA 94115",37.78569,-122.43294,(415) 829-3411,https://www.yelp.com/biz/nono-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Nara Restaurant & Sake Bar,4.6,2060,$$,"['Japanese', 'Sushi Bars']","518 Haight St, San Francisco, CA 94117",37.77216,-122.43086,(415) 417-0518,https://www.yelp.com/biz/nara-restaurant-and-sake-bar-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Dabao Singapore,4.8,84,,"['Singaporean', 'Desserts', 'Caterers']","1661 Tennessee St, Ste 2k, San Francisco, CA 94107",37.750911,-122.388126,,https://www.yelp.com/biz/dabao-singapore-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
ILCHA,4.4,307,$$$,"['Korean', 'Bars']","2151 Lombard St, San Francisco, CA 94123",37.79948,-122.43681,(415) 613-9288,https://www.yelp.com/biz/ilcha-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
The Public Izakaya,4.4,440,$$,"['Izakaya', 'Sushi Bars', 'Ramen']","700 Post St, San Francisco, CA 94109",37.78783646253088,-122.413599,(415) 658-7588,https://www.yelp.com/biz/the-public-izakaya-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
The Tailor's Son,4.2,536,$$,"['Italian', 'Cocktail Bars', 'Breakfast & Brunch']","2049 Fillmore St, San Francisco, CA 94115",37.788589,-122.434054,(415) 673-7200,https://www.yelp.com/biz/the-tailors-son-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Pinsa Rossa,4.6,116,,"['Italian', 'Pizza', 'Beer Bar']","2101 Fillmore St, San Francisco, CA 94115",37.78896562756244,-122.43397533119676,(415) 922-4700,https://www.yelp.com/biz/pinsa-rossa-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
SHOWA Le Gourmet Tonkatsu,5.0,14,,['Japanese'],"1550 Howard St, San Francisco, CA 94103",37.772539,-122.416598,(415) 470-1107,https://www.yelp.com/biz/showa-le-gourmet-tonkatsu-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
La Sarrasine,4.7,93,$$,"['Creperies', 'French', 'Mediterranean']","607 Divisadero St, San Francisco, CA 94117",37.775244759082085,-122.4380604766232,(415) 417-4915,https://www.yelp.com/biz/la-sarrasine-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Toast N Egg,4.1,86,$$,"['Korean', 'Breakfast & Brunch']","1838 Irving St, San Francisco, CA 94122",37.7636665206062,-122.47785370807917,(415) 900-1210,https://www.yelp.com/biz/toast-n-egg-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Frances,4.3,1573,$$$,"['New American', 'Wine Bars']","3870 17th St, San Francisco, CA 94114",37.762866,-122.432244,(415) 621-3870,https://www.yelp.com/biz/frances-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Bistro Ember,4.7,90,,['Mediterranean'],"1298 Church St, San Francisco, CA 94114",37.750215,-122.427556,(415) 936-6096,https://www.yelp.com/biz/bistro-ember-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
JIJIME,4.3,620,$$,"['Korean', 'Asian Fusion', 'Ramen']","5524 Geary Blvd, San Francisco, CA 94121",37.7806549278456,-122.478949574806,(415) 221-5353,https://www.yelp.com/biz/jijime-san-francisco-8?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Lark,4.1,349,$$,"['Mediterranean', 'Greek', 'Cocktail Bars']","4068 18th St, San Francisco, CA 94114",37.761243,-122.434248,(415) 400-4623,https://www.yelp.com/biz/lark-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Starbelly,3.8,2344,$$,"['New American', 'Breakfast & Brunch', 'Cocktail Bars']","3583 16th St, San Francisco, CA 94114",37.76408650404102,-122.4325853855326,(415) 252-7500,https://www.yelp.com/biz/starbelly-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
The Port of Peri Peri,4.7,11,,"['Chicken Shop', 'Halal', 'Portuguese']","737 3rd St, San Francisco, CA 94107",37.77862193184325,-122.3921099445687,(415) 340-7373,https://www.yelp.com/biz/the-port-of-peri-peri-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Khao Tiew,4.7,73,,['Thai'],"272 Claremont Blvd, San Francisco, CA 94127",37.741091,-122.465071,(415) 996-1919,https://www.yelp.com/biz/khao-tiew-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Little Aloha,4.4,32,$$,"['Hawaiian', 'Shaved Ice']","1115 Taraval St, San Francisco, CA 94116",37.74278,-122.47815,(415) 592-3888,https://www.yelp.com/biz/little-aloha-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
little shucker,4.4,179,,['Seafood'],"2016 Fillmore St, San Francisco, CA 94115",37.788292,-122.433458,,https://www.yelp.com/biz/little-shucker-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Birdsong,4.4,430,$$$$,['New American'],"1085 Mission St, San Francisco, CA 94103",37.7793175,-122.4105235,(415) 369-9161,https://www.yelp.com/biz/birdsong-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Cote Ouest Bistro,4.7,221,,['French'],"2953 Baker St, San Francisco, CA 94123",37.798332,-122.446101,(415) 896-4709,https://www.yelp.com/biz/cote-ouest-bistro-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Lokma,4.6,820,$$,"['Mediterranean', 'Breakfast & Brunch', 'Vegetarian']","1801 Clement St, San Francisco, CA 94121",37.78215,-122.47867,(415) 702-6263,https://www.yelp.com/biz/lokma-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Lily,4.3,479,,['Vietnamese'],"225 Clement St, San Francisco, CA 94118",37.782815,-122.461671,(415) 742-5285,https://www.yelp.com/biz/lily-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Anomaly SF,4.7,179,$$$$,['New American'],"2600 Sutter St, San Francisco, CA 94115",37.78494492089844,-122.44337749674686,(415) 510-9468,https://www.yelp.com/biz/anomaly-sf-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Rasa Rasa Kitchen,4.5,40,,"['Asian Fusion', 'Indonesian']","2200 Bryant St, San Francisco, CA 94110",37.75905786317478,-122.41007113900255,,https://www.yelp.com/biz/rasa-rasa-kitchen-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Mattina,3.9,92,,"['Italian', 'Coffee & Tea', 'Breakfast & Brunch']","2232 Bush St, San Francisco, CA 94115",37.787223387923554,-122.4341518,,https://www.yelp.com/biz/mattina-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Mr. Digby’s,4.2,167,$$,"['Cocktail Bars', 'Comfort Food', 'Breakfast & Brunch']","1199 Church St, San Francisco, CA 94114",37.751825,-122.427164,(415) 896-4973,https://www.yelp.com/biz/mr-digby-s-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Bettola,5.0,1,,['Italian'],"343 Clement St, San Francisco, CA 94118",37.78284,-122.463137,(415) 571-8542,https://www.yelp.com/biz/bettola-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Sotto Mare,4.3,5346,$$,"['Seafood', 'Italian', 'Bars']","552 Green St, San Francisco, CA 94133",37.79979,-122.40834,(415) 398-3181,https://www.yelp.com/biz/sotto-mare-san-francisco-4?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Ben Thai Cafe,4.4,1058,$$,"['Thai', 'Noodles']","1331 Polk St, San Francisco, CA 94109",37.78924,-122.42065,(415) 771-2562,https://www.yelp.com/biz/ben-thai-cafe-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Ollei,4.6,184,$$,"['Korean', 'Comfort Food', 'Asian Fusion']","2127 Polk St, San Francisco, CA 94109",37.796378,-122.422173,(415) 757-0721,https://www.yelp.com/biz/ollei-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Nopalito,3.8,2049,$$,['Mexican'],"306 Broderick St, San Francisco, CA 94117",37.77343530099,-122.438993048014,(415) 437-0303,https://www.yelp.com/biz/nopalito-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
The Crew,3.9,604,$$,"['Korean', 'Barbeque', 'Asian Fusion']","1330 Noriega St, San Francisco, CA 94122",37.7543406605787,-122.478169364418,(415) 665-8548,https://www.yelp.com/biz/the-crew-san-francisco-4?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Cha Cha Cha,3.9,3476,$$,"['Caribbean', 'Cuban', 'Tapas Bars']","1801 Haight St, San Francisco, CA 94117",37.7691434,-122.4520399,(415) 386-7670,https://www.yelp.com/biz/cha-cha-cha-san-francisco-4?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Farmhouse Kitchen Thai Cuisine,4.1,3707,$$,"['Thai', 'Coffee & Tea', 'Cocktail Bars']","710 Florida St, San Francisco, CA 94110",37.760192883932795,-122.4114188698492,(415) 814-2920,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
State Bird Provisions,4.2,3276,$$$$,"['Tapas/Small Plates', 'New American', 'Desserts']","1529 Fillmore St, San Francisco, CA 94115",37.78374,-122.433005,(415) 795-1272,https://www.yelp.com/biz/state-bird-provisions-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Wooden Spoon,4.4,716,$$,['Breakfast & Brunch'],"2172 Market St, San Francisco, CA 94114",37.7666182758937,-122.430262778253,(415) 946-3005,https://www.yelp.com/biz/wooden-spoon-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Jang,5.0,3,,"['Japanese', 'Korean', 'Barbeque']","22 Franklin St, San Francisco, CA 94102",37.77477,-122.42059,(510) 529-1002,https://www.yelp.com/biz/jang-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Bodega,4.4,610,,"['Vietnamese', 'Noodles', 'Cocktail Bars']","138 Mason St, San Francisco, CA 94102",37.784837858877935,-122.4093022,(415) 655-9341,https://www.yelp.com/biz/bodega-san-francisco-3?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Routier,4.4,181,$$$$,['French'],"2801 California St, San Francisco, CA 94115",37.78789,-122.440595,(415) 766-9997,https://www.yelp.com/biz/routier-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Abrazo,4.5,200,$$$,"['Spanish', 'New American', 'Seafood']","2000 Hyde St, San Francisco, CA 94109",37.7994,-122.41888,(415) 872-9239,https://www.yelp.com/biz/abrazo-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Kitchen Story,4.1,4137,$$,"['Breakfast & Brunch', 'Asian Fusion', 'New American']","3499 16th St, San Francisco, CA 94114",37.764290777795395,-122.43072410226956,(415) 525-4905,https://www.yelp.com/biz/kitchen-story-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Caliente Bistro Kitchen,4.8,262,$$,"['Mexican', 'Bars']","4828 Geary Blvd, San Francisco, CA 94118",37.78101,-122.47126,(415) 379-6250,https://www.yelp.com/biz/caliente-bistro-kitchen-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
